100.000000,0.000000,4.703264,5.642389
101.323426,0.707382,4.904324,5.919776
102.638456,1.433196,5.415691,6.029570
103.941581,2.177266,5.102146,6.436858
105.229318,2.939321,5.334644,6.154153
106.498218,3.719000,5.246301,5.788188
107.744886,4.515849,4.896794,5.506027
108.965985,5.329326,5.264844,5.326002
110.158253,6.158802,5.021759,5.982734
111.318512,7.003567,5.034450,6.048558
112.443679,7.862828,5.174688,6.123292
113.530779,8.735717,4.702066,5.765802
114.576952,9.621295,5.531733,5.671567
115.579464,10.518555,4.986917,5.635634
116.535718,11.426427,5.502403,5.899940
117.443260,12.343784,5.257208,5.025379
118.299787,13.269447,5.689817,5.112426
119.103159,14.202192,5.046010,4.881730
119.851400,15.140753,5.164149,5.483034
120.542707,16.083831,5.372592,5.568773
121.175457,17.030100,4.622474,5.954588
121.748206,17.978211,5.546422,5.598031
122.259702,18.926802,5.773734,5.732808
122.708879,19.874502,5.662349,5.526156
123.094865,20.819938,5.563658,5.402666
123.416983,21.761744,5.306207,5.208525
123.674751,22.698564,5.747190,5.600410
123.867883,23.629062,5.697288,5.501474
123.996287,24.551926,5.505160,5.180156
124.060064,25.465874,5.401034,5.315656
124.059510,26.369663,5.302920,5.148122
123.995106,27.262092,5.054150,5.198947
123.867519,28.142010,5.802672,5.812166
123.677599,29.008319,4.794584,5.536271
123.426369,29.859981,5.346350,5.565816
123.115025,30.696023,5.517705,5.107120
122.744924,31.515540,5.737147,5.203263
122.317584,32.317700,6.018263,5.725219
121.834670,33.101747,5.798128,5.137074
121.297989,33.867007,5.422822,5.137694
120.709483,34.612887,5.738640,5.507334
120.071219,35.338881,5.151416,5.642566
119.385376,36.044570,5.968341,5.641971
118.654241,36.729623,5.501643,5.320034
117.880196,37.393801,5.355443,5.049701
117.065708,38.036954,5.374594,5.325007
116.213319,38.659026,5.556396,5.351791
115.325635,39.260049,5.465209,5.114123
114.405314,39.840145,6.278003,5.090697
113.455056,40.399528,5.383301,5.370272
112.477594,40.938496,5.616000,5.711896
111.475677,41.457433,5.621830,4.600368
110.452068,41.956805,5.628824,5.095808
109.409523,42.437157,5.643602,4.590269
108.350788,42.899112,5.488910,5.066317
107.278586,43.343362,5.464460,4.932559
106.195606,43.770670,5.386656,5.617091
105.104491,44.181860,5.204391,5.148525
104.007833,44.577814,5.720989,4.647536
102.908161,44.959470,5.956376,5.415264
101.807932,45.327812,5.502814,4.464572
100.709521,45.683865,5.502539,5.116726
99.615216,46.028692,5.579269,5.433752
98.527209,46.363385,5.539816,4.991058
97.447588,46.689061,5.250624,5.069084
96.378332,47.006853,6.094236,4.996471
